time_iso,id3_ticks,id4_ticks,id5_ticks,t_sec
2025-10-25 17:39:22.046232,1865,2041,2051,2.095885
2025-10-25 17:39:22.142230,1865,2041,2051,2.191883
2025-10-25 17:39:22.238235,1865,2040,2051,2.287888
2025-10-25 17:39:22.334222,1865,2039,2051,2.383875
2025-10-25 17:39:22.430217,1864,2032,2052,2.47987
2025-10-25 17:39:22.526210,1864,2008,2062,2.575863
2025-10-25 17:39:22.622225,1865,1964,2109,2.671878
2025-10-25 17:39:22.718246,1865,1901,2172,2.767899
2025-10-25 17:39:22.814207,1864,1836,2225,2.86386
2025-10-25 17:39:22.910200,1863,1780,2249,2.959853
2025-10-25 17:39:23.006200,1858,1728,2249,3.055853
2025-10-25 17:39:23.102193,1852,1676,2250,3.151846
2025-10-25 17:39:23.198188,1845,1623,2250,3.247841
2025-10-25 17:39:23.294154,1840,1574,2249,3.343807
2025-10-25 17:39:23.390155,1838,1524,2244,3.439808
2025-10-25 17:39:23.486152,1836,1474,2243,3.535805
2025-10-25 17:39:23.582151,1842,1443,2243,3.631804
2025-10-25 17:39:23.678141,1863,1440,2243,3.727794
2025-10-25 17:39:23.774137,1884,1441,2243,3.82379
2025-10-25 17:39:23.870131,1886,1440,2243,3.919784
2025-10-25 17:39:23.966127,1883,1440,2243,4.01578
2025-10-25 17:39:24.062181,1891,1441,2243,4.111834
2025-10-25 17:39:24.158145,1920,1440,2243,4.207798
2025-10-25 17:39:24.254123,1961,1440,2243,4.303776
2025-10-25 17:39:24.350124,1994,1440,2243,4.399777
2025-10-25 17:39:24.446099,2032,1441,2243,4.495752
2025-10-25 17:39:24.558081,2079,1441,2243,4.607734
2025-10-25 17:39:24.670080,2126,1441,2243,4.719733
2025-10-25 17:39:24.766077,2176,1441,2243,4.81573
2025-10-25 17:39:24.862092,2219,1441,2243,4.911745
2025-10-25 17:39:24.958084,2262,1441,2243,5.007737
2025-10-25 17:39:25.054070,2299,1443,2242,5.103723
2025-10-25 17:39:25.150062,2326,1446,2243,5.199715
2025-10-25 17:39:25.246055,2344,1446,2243,5.295708
2025-10-25 17:39:25.342058,2360,1446,2243,5.391711
2025-10-25 17:39:25.438049,2368,1446,2243,5.487702
2025-10-25 17:39:25.534055,2374,1446,2243,5.583708
2025-10-25 17:39:25.630096,2384,1446,2243,5.679749
2025-10-25 17:39:25.726085,2387,1447,2243,5.775738
2025-10-25 17:39:25.822061,2392,1447,2243,5.871714
2025-10-25 17:39:25.918030,2400,1446,2243,5.967683
2025-10-25 17:39:26.014021,2405,1447,2243,6.063674
2025-10-25 17:39:26.110043,2406,1452,2242,6.159696
2025-10-25 17:39:26.206010,2409,1470,2242,6.255663
2025-10-25 17:39:26.302053,2413,1515,2242,6.351706
2025-10-25 17:39:26.398047,2415,1581,2242,6.4477
2025-10-25 17:39:26.510005,2418,1656,2239,6.559658
2025-10-25 17:39:26.621988,2419,1712,2206,6.671641
2025-10-25 17:39:26.717984,2416,1763,2137,6.767637
2025-10-25 17:39:26.813978,2413,1834,2066,6.863631
2025-10-25 17:39:26.909974,2411,1895,2016,6.959627
2025-10-25 17:39:27.005961,2406,1933,1988,7.055614
2025-10-25 17:39:27.101962,2404,1964,1962,7.151615
2025-10-25 17:39:27.197960,2397,2007,1925,7.247613
2025-10-25 17:39:27.293964,2387,2064,1884,7.343617
2025-10-25 17:39:27.389931,2375,2122,1855,7.439584
2025-10-25 17:39:27.485933,2362,2176,1851,7.535586
2025-10-25 17:39:27.581928,2348,2221,1851,7.631581
2025-10-25 17:39:27.677922,2335,2255,1852,7.727575
2025-10-25 17:39:27.773922,2328,2271,1857,7.823575
2025-10-25 17:39:27.869926,2326,2272,1859,7.919579
2025-10-25 17:39:27.965924,2326,2272,1872,8.015577
2025-10-25 17:39:28.061918,2326,2272,1909,8.111571
2025-10-25 17:39:28.157896,2324,2272,1937,8.207549
2025-10-25 17:39:28.253894,2320,2272,1937,8.303547
2025-10-25 17:39:28.349887,2311,2272,1937,8.39954
2025-10-25 17:39:28.445878,2291,2272,1936,8.495531
2025-10-25 17:39:28.541878,2266,2273,1934,8.591531
2025-10-25 17:39:28.637871,2237,2277,1932,8.687524
2025-10-25 17:39:28.733870,2204,2281,1931,8.783523
2025-10-25 17:39:28.829873,2158,2281,1931,8.879526
2025-10-25 17:39:28.925896,2105,2282,1936,8.975549
2025-10-25 17:39:29.021873,2055,2282,1937,9.071526
2025-10-25 17:39:29.117866,1999,2282,1937,9.167519
2025-10-25 17:39:29.213857,1938,2282,1937,9.26351
2025-10-25 17:39:29.309899,1873,2282,1937,9.359552
2025-10-25 17:39:29.405839,1805,2282,1937,9.455492
2025-10-25 17:39:29.501831,1746,2282,1937,9.551484
2025-10-25 17:39:29.597882,1687,2281,1937,9.647535
2025-10-25 17:39:29.693830,1629,2281,1937,9.743483
2025-10-25 17:39:29.789827,1576,2281,1937,9.83948
2025-10-25 17:39:29.885822,1522,2281,1937,9.935475
2025-10-25 17:39:29.981815,1479,2280,1937,10.031468
2025-10-25 17:39:30.077809,1460,2278,1938,10.127462
2025-10-25 17:39:30.173802,1457,2276,1937,10.223455
2025-10-25 17:39:30.269808,1456,2275,1938,10.319461
2025-10-25 17:39:30.365849,1451,2275,1937,10.415502
2025-10-25 17:39:30.477804,1449,2274,1938,10.527457
2025-10-25 17:39:30.589788,1449,2274,1938,10.639441
2025-10-25 17:39:30.685857,1451,2272,1937,10.73551
